total sulfur dioxide,density,pH,sulphates,alcohol,quality
34,0.9978,3.51,0.56,9.4,5
67,0.9968,3.2,0.68,9.8,5
54,0.997,3.26,0.65,9.8,5
60,0.998,3.16,0.58,9.8,6
34,0.9978,3.51,0.56,9.4,5
40,0.9978,3.51,0.56,9.4,5
59,0.9964,3.3,0.46,9.4,5
21,0.9946,3.39,0.47,10,7
18,0.9968,3.36,0.57,9.5,7
102,0.9978,3.35,0.8,10.5,5
65,0.9959,3.28,0.54,9.2,5
102,0.9978,3.35,0.8,10.5,5
59,0.9943,3.58,0.52,9.9,5
29,0.9974,3.26,1.56,9.1,5
145,0.9986,3.16,0.88,9.2,5
148,0.9986,3.17,0.93,9.2,5
103,0.9969,3.3,0.75,10.5,7
56,0.9968,3.11,1.28,9.3,5
29,0.9974,3.38,0.5,9,4
56,0.9969,3.04,1.08,9.2,6
60,0.9968,3.39,0.53,9.4,6
71,0.9982,3.52,0.65,9.7,5
37,0.9966,3.17,0.91,9.5,5
67,0.9968,3.17,0.53,9.4,5
40,0.9968,3.43,0.63,9.7,6
23,0.9955,3.34,0.56,9.3,5
11,0.9962,3.28,0.59,9.5,5
37,0.9966,3.17,0.91,9.5,5
35,0.9972,3.47,0.55,9.4,5
16,0.9964,3.38,0.59,9.8,6
82,0.9958,3.35,0.54,10.1,5
37,0.9966,3.46,0.57,10.6,6
113,0.9966,3.17,0.66,9.8,5
83,0.9993,3.45,0.52,9.4,6
50,0.9957,3.38,0.55,9.2,5
18,0.9986,3.4,0.55,9.6,6
15,0.9975,3.42,0.6,10.8,6
30,0.9968,3.23,0.73,9.7,7
19,0.994,3.5,0.48,9.8,4
87,0.9978,3.33,0.83,10.5,5
87,0.9978,3.33,0.83,10.5,5
46,0.9976,3.26,0.51,9.3,4
14,0.9968,3.21,0.9,10.5,6
23,0.9968,3.3,1.2,10.3,5
11,0.9962,3.48,0.52,9.5,5
65,0.9934,3.9,0.56,13.1,4
114,0.997,3.25,0.73,9.2,5
37,0.9969,3.25,0.58,9.5,5
12,0.9958,3.34,0.56,9.2,5
96,0.9954,3.32,0.58,9.2,5
23,0.9971,3.15,0.74,9.2,5
15,0.9956,3.4,0.63,9.4,6
14,0.9955,3.39,0.64,9.4,6
119,0.997,3.2,0.56,9.4,5
73,0.9955,3.17,0.63,10.2,6
45,0.9978,3.34,0.53,9.5,5
10,0.9971,3.04,0.63,9.6,5
110,0.9983,3.26,0.77,9.4,5
54,0.9975,3.43,0.59,10,5
46,0.9962,3.41,0.54,9.4,6
52,0.998,3.44,0.64,9.2,5
112,0.9968,3.21,0.71,9.3,5
35,0.9968,3.38,0.62,9.5,7
54,0.9966,3.39,0.57,9.8,5
11,0.9962,3.41,0.39,10.9,5
11,0.9962,3.41,0.39,10.9,5
39,0.9968,3.42,0.58,9.6,5
15,0.9962,3.44,0.58,10.7,5
65,0.9969,3.28,0.79,10.7,5
19,0.9962,3.34,0.95,10.5,6
27,0.9967,3.32,0.54,9.5,6
96,0.9962,3.32,0.48,9.5,5
94,0.9961,3.31,0.48,9.5,5
43,0.9976,3.31,0.53,9.2,4
83,0.9984,3.28,0.82,9.6,5
42,0.9986,3.54,0.66,10.5,5
42,0.9986,3.54,0.66,10.5,5
30,0.9966,3.52,0.55,10.7,6
80,0.9958,3.38,0.52,10.1,5
119,0.9972,3.16,1.12,9.1,4
